진료년도,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,서울,송파구,여,20~29세,118,351,59169670
2023,서울,송파구,여,30~39세,206,625,146459590
2023,서울,송파구,여,40~49세,264,725,89573170
2023,서울,송파구,여,50~59세,179,477,48662300
2023,서울,송파구,여,60~69세,110,273,16253220
2023,서울,송파구,여,70~79세,34,65,3882150
2023,서울,송파구,여,80~89세,0,0,0
2023,서울,송파구,여,90~99세,0,0,0
2023,서울,송파구,여,100세 이상,0,0,0
2023,서울,중랑구,남,0~9세,0,0,0
2023,서울,중랑구,남,10~19세,0,0,0
2023,서울,중랑구,남,20~29세,16,37,11726270
2023,서울,중랑구,남,30~39세,32,137,120336560
2023,서울,중랑구,남,40~49세,17,71,54252150
2023,서울,중랑구,남,50~59세,0,0,0
2023,서울,중랑구,남,60~69세,0,0,0
2023,서울,중랑구,남,70~79세,0,0,0
2023,서울,중랑구,남,80~89세,0,0,0
2023,서울,중랑구,남,90~99세,0,0,0
2023,서울,중랑구,남,100세 이상,0,0,0
2023,서울,중랑구,여,0~9세,0,0,0
2023,서울,중랑구,여,10~19세,10,34,29512890
2023,서울,중랑구,여,20~29세,63,261,230585580
2023,서울,중랑구,여,30~39세,142,722,649401600
2023,서울,중랑구,여,40~49세,113,491,454133480
2023,서울,중랑구,여,50~59세,59,197,87784380
2023,서울,중랑구,여,60~69세,18,54,37305250
2023,서울,중랑구,여,70~79세,0,0,0
2023,서울,중랑구,여,80~89세,0,0,0
2023,서울,중랑구,여,90~99세,0,0,0
2023,서울,중랑구,여,100세 이상,0,0,0
2023,서울,양천구,남,0~9세,0,0,0
2023,서울,양천구,남,10~19세,0,0,0
2023,서울,양천구,남,20~29세,0,0,0
2023,서울,양천구,남,30~39세,12,14,445530
2023,서울,양천구,남,40~49세,0,0,0
2023,서울,양천구,남,50~59세,0,0,0
2023,서울,양천구,남,60~69세,0,0,0
2023,서울,양천구,남,70~79세,0,0,0
2023,서울,양천구,남,80~89세,0,0,0
2023,서울,양천구,남,90~99세,0,0,0
2023,서울,양천구,남,100세 이상,0,0,0
2023,서울,양천구,여,0~9세,0,0,0
2023,서울,양천구,여,10~19세,0,0,0
2023,서울,양천구,여,20~29세,14,32,921240
2023,서울,양천구,여,30~39세,22,56,3239160
2023,서울,양천구,여,40~49세,28,56,2262750
2023,서울,양천구,여,50~59세,33,80,1491200
2023,서울,양천구,여,60~69세,15,44,752800
2023,서울,양천구,여,70~79세,0,0,0
2023,서울,양천구,여,80~89세,0,0,0
2023,서울,양천구,여,90~99세,0,0,0
2023,서울,양천구,여,100세 이상,0,0,0
2023,서울,서초구,남,0~9세,0,0,0
2023,서울,서초구,남,10~19세,11,16,727220
2023,서울,서초구,남,20~29세,26,83,32089490
2023,서울,서초구,남,30~39세,55,162,67382210
2023,서울,서초구,남,40~49세,33,80,5387090
2023,서울,서초구,남,50~59세,13,47,10641750
2023,서울,서초구,남,60~69세,0,0,0
2023,서울,서초구,남,70~79세,0,0,0
2023,서울,서초구,남,80~89세,0,0,0
2023,서울,서초구,남,90~99세,0,0,0
2023,서울,서초구,남,100세 이상,0,0,0
2023,서울,서초구,여,0~9세,0,0,0
2023,서울,서초구,여,10~19세,0,0,0
2023,서울,서초구,여,20~29세,80,149,16115040
2023,서울,서초구,여,30~39세,138,208,24739850
2023,서울,서초구,여,40~49세,122,201,18130320
2023,서울,서초구,여,50~59세,59,162,59075570
2023,서울,서초구,여,60~69세,16,35,1725800
2023,서울,서초구,여,70~79세,0,0,0
2023,서울,서초구,여,80~89세,0,0,0
2023,서울,서초구,여,90~99세,0,0,0
2023,서울,서초구,여,100세 이상,0,0,0
2023,서울,노원구,남,0~9세,0,0,0
2023,서울,노원구,남,10~19세,0,0,0
2023,서울,노원구,남,20~29세,0,0,0
2023,서울,노원구,남,30~39세,0,0,0
2023,서울,노원구,남,40~49세,0,0,0
2023,서울,노원구,남,50~59세,0,0,0
2023,서울,노원구,남,60~69세,0,0,0
2023,서울,노원구,남,70~79세,0,0,0
2023,서울,노원구,남,80~89세,0,0,0
2023,서울,노원구,남,90~99세,0,0,0
2023,서울,노원구,남,100세 이상,0,0,0
2023,서울,노원구,여,0~9세,0,0,0
2023,서울,노원구,여,10~19세,0,0,0
2023,서울,노원구,여,20~29세,0,0,0
2023,서울,노원구,여,30~39세,25,50,1913170
2023,서울,노원구,여,40~49세,24,35,925660
2023,서울,노원구,여,50~59세,21,39,868630
2023,서울,노원구,여,60~69세,0,0,0
2023,서울,노원구,여,70~79세,0,0,0
2023,서울,노원구,여,80~89세,0,0,0
2023,서울,노원구,여,90~99세,0,0,0
2023,서울,노원구,여,100세 이상,0,0,0
2023,서울,광진구,남,0~9세,0,0,0
2023,서울,광진구,남,10~19세,0,0,0
2023,서울,광진구,남,20~29세,0,0,0
2023,서울,광진구,남,30~39세,0,0,0
2023,서울,광진구,남,40~49세,0,0,0
2023,서울,광진구,남,50~59세,0,0,0
2023,서울,광진구,남,60~69세,0,0,0
2023,서울,광진구,남,70~79세,0,0,0
2023,서울,광진구,남,80~89세,0,0,0
2023,서울,광진구,남,90~99세,0,0,0
2023,서울,광진구,남,100세 이상,0,0,0
2023,서울,광진구,여,0~9세,0,0,0
2023,서울,광진구,여,10~19세,0,0,0
2023,서울,광진구,여,20~29세,0,0,0
2023,서울,광진구,여,30~39세,12,13,427700
2023,서울,광진구,여,40~49세,18,29,719770
2023,서울,광진구,여,50~59세,30,42,637130
2023,서울,광진구,여,60~69세,0,0,0
2023,서울,광진구,여,70~79세,0,0,0
2023,서울,광진구,여,80~89세,0,0,0
2023,서울,광진구,여,90~99세,0,0,0
2023,서울,광진구,여,100세 이상,0,0,0
2023,서울,강북구,남,0~9세,0,0,0
2023,서울,강북구,남,10~19세,0,0,0
2023,서울,강북구,남,20~29세,15,85,81921530
2023,서울,강북구,남,30~39세,21,134,127246660
2023,서울,강북구,남,40~49세,28,140,144012800
2023,서울,강북구,남,50~59세,14,80,80815060
2023,서울,강북구,남,60~69세,0,0,0
2023,서울,강북구,남,70~79세,0,0,0
2023,서울,강북구,남,80~89세,0,0,0
2023,서울,강북구,남,90~99세,0,0,0
2023,서울,강북구,남,100세 이상,0,0,0
2023,서울,강북구,여,0~9세,0,0,0
2023,서울,강북구,여,10~19세,0,0,0
2023,서울,강북구,여,20~29세,32,198,212403130
2023,서울,강북구,여,30~39세,62,303,300687690
2023,서울,강북구,여,40~49세,87,390,379366190
2023,서울,강북구,여,50~59세,31,144,118729570
2023,서울,강북구,여,60~69세,18,50,51820640
2023,서울,강북구,여,70~79세,0,0,0
2023,서울,강북구,여,80~89세,0,0,0
2023,서울,강북구,여,90~99세,0,0,0
2023,서울,강북구,여,100세 이상,0,0,0
2023,서울,금천구,남,0~9세,0,0,0
2023,서울,금천구,남,10~19세,0,0,0
2023,서울,금천구,남,20~29세,0,0,0
2023,서울,금천구,남,30~39세,0,0,0
2023,서울,금천구,남,40~49세,0,0,0
2023,서울,금천구,남,50~59세,0,0,0
2023,서울,금천구,남,60~69세,0,0,0
2023,서울,금천구,남,70~79세,0,0,0
2023,서울,금천구,남,80~89세,0,0,0
2023,서울,금천구,남,90~99세,0,0,0
2023,서울,금천구,남,100세 이상,0,0,0
2023,서울,금천구,여,0~9세,0,0,0
