시도,시군구,연령군,환자수
부산,부산사하구,0~9세,0
부산,부산사하구,10~19세,0
부산,부산사하구,20~29세,0
부산,부산사하구,30~39세,0
부산,부산사하구,40~49세,12
부산,부산사하구,50~59세,11
부산,부산사하구,60~69세,0
부산,부산사하구,70~79세,0
부산,부산사하구,80~89세,0
부산,부산사하구,90~99세,0
부산,부산사하구,100세 이상,0
부산,부산금정구,0~9세,0
부산,부산금정구,10~19세,0
부산,부산금정구,20~29세,0
부산,부산금정구,30~39세,0
부산,부산금정구,40~49세,0
부산,부산금정구,50~59세,0
부산,부산금정구,60~69세,0
부산,부산금정구,70~79세,0
부산,부산금정구,80~89세,0
부산,부산금정구,90~99세,0
부산,부산금정구,100세 이상,0
부산,부산금정구,0~9세,0
부산,부산금정구,10~19세,0
부산,부산금정구,20~29세,0
부산,부산금정구,30~39세,0
부산,부산금정구,40~49세,0
부산,부산금정구,50~59세,12
부산,부산금정구,60~69세,0
부산,부산금정구,70~79세,0
부산,부산금정구,80~89세,0
부산,부산금정구,90~99세,0
부산,부산금정구,100세 이상,0
부산,부산강서구,0~9세,0
부산,부산강서구,10~19세,0
부산,부산강서구,20~29세,0
부산,부산강서구,30~39세,0
부산,부산강서구,40~49세,0
부산,부산강서구,50~59세,0
부산,부산강서구,60~69세,0
부산,부산강서구,70~79세,0
부산,부산강서구,80~89세,0
부산,부산강서구,90~99세,0
부산,부산강서구,100세 이상,0
부산,부산강서구,0~9세,0
부산,부산강서구,10~19세,0
부산,부산강서구,20~29세,0
부산,부산강서구,30~39세,0
부산,부산강서구,40~49세,0
부산,부산강서구,50~59세,0
부산,부산강서구,60~69세,0
부산,부산강서구,70~79세,0
부산,부산강서구,80~89세,0
부산,부산강서구,90~99세,0
부산,부산강서구,100세 이상,0
부산,부산연제구,0~9세,0
부산,부산연제구,10~19세,0
부산,부산연제구,20~29세,0
부산,부산연제구,30~39세,0
부산,부산연제구,40~49세,0
부산,부산연제구,50~59세,0
부산,부산연제구,60~69세,0
부산,부산연제구,70~79세,0
부산,부산연제구,80~89세,0
부산,부산연제구,90~99세,0
부산,부산연제구,100세 이상,0
부산,부산연제구,0~9세,0
부산,부산연제구,10~19세,0
부산,부산연제구,20~29세,10
부산,부산연제구,30~39세,21
부산,부산연제구,40~49세,36
부산,부산연제구,50~59세,17
부산,부산연제구,60~69세,0
부산,부산연제구,70~79세,0
부산,부산연제구,80~89세,0
부산,부산연제구,90~99세,0
부산,부산연제구,100세 이상,0
부산,부산수영구,0~9세,0
부산,부산수영구,10~19세,0
부산,부산수영구,20~29세,0
부산,부산수영구,30~39세,0
부산,부산수영구,40~49세,0
부산,부산수영구,50~59세,0
부산,부산수영구,60~69세,0
부산,부산수영구,70~79세,0
부산,부산수영구,80~89세,0
부산,부산수영구,90~99세,0
부산,부산수영구,100세 이상,0
부산,부산수영구,0~9세,0
부산,부산수영구,10~19세,0
부산,부산수영구,20~29세,0
부산,부산수영구,30~39세,12
부산,부산수영구,40~49세,12
부산,부산수영구,50~59세,0
부산,부산수영구,60~69세,0
부산,부산수영구,70~79세,0
부산,부산수영구,80~89세,0
부산,부산수영구,90~99세,0
부산,부산수영구,100세 이상,0
부산,부산사상구,0~9세,0
부산,부산사상구,10~19세,0
부산,부산사상구,20~29세,0
부산,부산사상구,30~39세,0
부산,부산사상구,40~49세,0
부산,부산사상구,50~59세,0
부산,부산사상구,60~69세,0
부산,부산사상구,70~79세,0
부산,부산사상구,80~89세,0
부산,부산사상구,90~99세,0
부산,부산사상구,100세 이상,0
부산,부산사상구,0~9세,0
부산,부산사상구,10~19세,0
부산,부산사상구,20~29세,0
부산,부산사상구,30~39세,0
부산,부산사상구,40~49세,0
부산,부산사상구,50~59세,0
부산,부산사상구,60~69세,0
부산,부산사상구,70~79세,0
부산,부산사상구,80~89세,0
부산,부산사상구,90~99세,0
부산,부산사상구,100세 이상,0
부산,부산기장군,0~9세,0
부산,부산기장군,10~19세,0
부산,부산기장군,20~29세,0
부산,부산기장군,30~39세,0
부산,부산기장군,40~49세,0
부산,부산기장군,50~59세,0
부산,부산기장군,60~69세,0
부산,부산기장군,70~79세,0
부산,부산기장군,80~89세,0
부산,부산기장군,90~99세,0
부산,부산기장군,100세 이상,0
부산,부산기장군,0~9세,0
부산,부산기장군,10~19세,0
부산,부산기장군,20~29세,0
부산,부산기장군,30~39세,0
