진료년도,시도,시군구,성별,환자수,입내원일수,요양급여비용총액
2023,전남,신안군,남,0,0,0
2023,전남,신안군,여,0,0,0
2023,전남,영광군,남,0,0,0
2023,전남,영광군,여,0,0,0
2023,전남,영암군,남,0,0,0
2023,전남,영암군,여,0,0,0
2023,전남,완도군,남,19,22,841120
2023,전남,완도군,여,24,36,609030
2023,전남,장성군,남,0,0,0
2023,전남,장성군,여,0,0,0
2023,전남,장흥군,남,0,0,0
2023,전남,장흥군,여,0,0,0
2023,전남,진도군,남,0,0,0
2023,전남,진도군,여,32,48,1027150
2023,전남,함평군,남,0,0,0
2023,전남,함평군,여,0,0,0
2023,전남,해남군,남,0,0,0
2023,전남,해남군,여,0,0,0
2023,전남,화순군,남,15,49,24446730
2023,전남,화순군,여,27,95,57507520
2023,전남,나주시,남,0,0,0
2023,전남,나주시,여,53,60,1590080
2023,전남,목포시,남,55,70,3682230
2023,전남,목포시,여,96,154,3186090
2023,전남,순천시,남,20,31,1376130
2023,전남,순천시,여,31,50,760770
2023,전남,여수시,남,28,48,1447430
2023,전남,여수시,여,56,84,1863940
2023,전남,광양시,남,0,0,0
2023,전남,광양시,여,11,20,288820
2023,경북,고령군,남,0,0,0
2023,경북,고령군,여,0,0,0
2023,경북,군위군,남,0,0,0
2023,경북,군위군,여,0,0,0
2023,경북,봉화군,남,0,0,0
2023,경북,봉화군,여,0,0,0
2023,경북,성주군,남,0,0,0
2023,경북,성주군,여,0,0,0
2023,경북,영덕군,남,0,0,0
2023,경북,영덕군,여,12,16,65890
2023,경북,영양군,남,0,0,0
2023,경북,영양군,여,0,0,0
2023,경북,예천군,남,0,0,0
2023,경북,예천군,여,0,0,0
2023,경북,울릉군,남,0,0,0
2023,경북,울릉군,여,0,0,0
2023,경북,울진군,남,0,0,0
2023,경북,울진군,여,0,0,0
2023,경북,의성군,남,0,0,0
2023,경북,의성군,여,0,0,0
2023,경북,청도군,남,0,0,0
2023,경북,청도군,여,0,0,0
2023,경북,청송군,남,0,0,0
2023,경북,청송군,여,0,0,0
2023,경북,칠곡군,남,0,0,0
2023,경북,칠곡군,여,0,0,0
2023,경북,경주시,남,0,0,0
2023,경북,경주시,여,36,55,1413030
2023,경북,구미시,남,18,27,746030
2023,경북,구미시,여,56,75,1264760
2023,경북,김천시,남,0,0,0
2023,경북,김천시,여,44,96,1277740
2023,경북,안동시,남,0,0,0
2023,경북,안동시,여,10,14,344860
2023,경북,영주시,남,0,0,0
2023,경북,영주시,여,0,0,0
2023,경북,영천시,남,12,29,456120
2023,경북,영천시,여,44,122,1758470
2023,경북,포항남구,남,59,67,13521610
2023,경북,포항남구,여,94,97,21530400
2023,경북,포항북구,남,14,20,416770
2023,경북,포항북구,여,43,96,3780900
2023,경북,문경시,남,0,0,0
2023,경북,문경시,여,24,83,110220
2023,경북,상주시,남,0,0,0
2023,경북,상주시,여,14,46,2698580
2023,경북,경산시,남,10,11,605680
2023,경북,경산시,여,39,64,965370
2023,경남,거창군,남,0,0,0
2023,경남,거창군,여,33,61,1208110
2023,경남,고성군,남,0,0,0
2023,경남,고성군,여,0,0,0
2023,경남,남해군,남,0,0,0
2023,경남,남해군,여,0,0,0
2023,경남,산청군,남,0,0,0
2023,경남,산청군,여,0,0,0
2023,경남,의령군,남,0,0,0
2023,경남,의령군,여,0,0,0
2023,경남,창녕군,남,0,0,0
2023,경남,창녕군,여,0,0,0
2023,경남,하동군,남,0,0,0
2023,경남,하동군,여,54,137,502150
2023,경남,함안군,남,0,0,0
2023,경남,함안군,여,0,0,0
2023,경남,함양군,남,0,0,0
2023,경남,함양군,여,0,0,0
2023,경남,합천군,남,0,0,0
2023,경남,합천군,여,0,0,0
2023,경남,김해시,남,28,37,1254900
2023,경남,김해시,여,163,309,7060170
2023,경남,사천시,남,11,19,671180
2023,경남,사천시,여,26,37,930550
2023,경남,진주시,남,34,67,14705550
2023,경남,진주시,여,83,217,69383170
2023,경남,창원마산회원구,남,64,175,10745160
2023,경남,창원마산회원구,여,117,207,7733650
2023,경남,창원마산합포구,남,0,0,0
2023,경남,창원마산합포구,여,23,31,646350
2023,경남,창원진해구,남,0,0,0
2023,경남,창원진해구,여,10,23,916190
2023,경남,창원의창구,남,27,111,23568960
2023,경남,창원의창구,여,63,391,141189260
2023,경남,창원성산구,남,17,60,15219620
2023,경남,창원성산구,여,46,102,14895600
2023,경남,통영시,남,0,0,0
2023,경남,통영시,여,35,68,1527170
2023,경남,밀양시,남,0,0,0
2023,경남,밀양시,여,12,22,120020
2023,경남,거제시,남,13,19,681920
2023,경남,거제시,여,15,20,421800
2023,경남,양산시,남,44,99,14602130
2023,경남,양산시,여,73,221,18934660
2023,제주,서귀포시,남,0,0,0
2023,제주,서귀포시,여,65,108,1604880
2023,제주,제주시,남,59,98,3391820
2023,제주,제주시,여,98,189,3944020
2023,세종,세종시,남,40,61,18893550
2023,세종,세종시,여,65,122,19585500
